cod;genero;raca;nome;regiao;periodo;valor
25;homem;negro;PB;Nordeste;2001;298
41;homem;negro;PR;Sul;2001;333
35;homem;negro;SP;Sudeste;2001;6096
13;homem;negro;AM;Norte;2001;371
15;homem;negro;PA;Norte;2001;725
42;homem;negro;SC;Sul;2001;61
29;homem;negro;BA;Nordeste;2001;1130
50;homem;negro;MS;Centro-Oeste;2001;277
14;homem;negro;RR;Norte;2001;76
23;homem;negro;CE;Nordeste;2001;638
26;homem;negro;PE;Nordeste;2001;3441
11;homem;negro;RO;Norte;2001;275
53;homem;negro;DF;Centro-Oeste;2001;549
51;homem;negro;MT;Centro-Oeste;2001;573
24;homem;negro;RN;Nordeste;2001;204
32;homem;negro;ES;Sudeste;2001;680
17;homem;negro;TO;Norte;2001;126
22;homem;negro;PI;Nordeste;2001;155
12;homem;negro;AC;Norte;2001;65
13;homem;negro;AM;Norte;2002;415
52;homem;negro;GO;Centro-Oeste;2002;666
12;homem;negro;AC;Norte;2002;92
15;homem;negro;PA;Norte;2002;974
42;homem;negro;SC;Sul;2002;75
32;homem;negro;ES;Sudeste;2002;742
29;homem;negro;BA;Nordeste;2002;1209
50;homem;negro;MS;Centro-Oeste;2002;298
14;homem;negro;RR;Norte;2002;83
23;homem;negro;CE;Nordeste;2002;657
27;homem;negro;AL;Nordeste;2002;616
22;homem;negro;PI;Nordeste;2002;214
26;homem;negro;PE;Nordeste;2002;3395
33;homem;negro;RJ;Sudeste;2002;4634
11;homem;negro;RO;Norte;2002;351
24;homem;negro;RN;Nordeste;2002;201
53;homem;negro;DF;Centro-Oeste;2002;503
17;homem;negro;TO;Norte;2002;110
51;homem;negro;MT;Centro-Oeste;2002;549
21;homem;negro;MA;Nordeste;2002;462
28;homem;negro;SE;Nordeste;2002;362
16;homem;negro;AP;Norte;2002;149
43;homem;negro;RS;Sul;2002;288
41;homem;negro;PR;Sul;2002;377
35;homem;negro;SP;Sudeste;2002;5643
25;homem;negro;PB;Nordeste;2002;405
31;homem;negro;MG;Sudeste;2002;1776
26;homem;negro;PE;Nordeste;2003;3375
28;homem;negro;SE;Nordeste;2003;262
51;homem;negro;MT;Centro-Oeste;2003;544
13;homem;negro;AM;Norte;2003;465
33;homem;negro;RJ;Sudeste;2003;4671
17;homem;negro;TO;Norte;2003;144
23;homem;negro;CE;Nordeste;2003;708
11;homem;negro;RO;Norte;2003;346
27;homem;negro;AL;Nordeste;2003;591
12;homem;negro;AC;Norte;2003;91
42;homem;negro;SC;Sul;2003;93
22;homem;negro;PI;Nordeste;2003;217
21;homem;negro;MA;Nordeste;2003;599
31;homem;negro;MG;Sudeste;2003;2340
16;homem;negro;AP;Norte;2003;159
32;homem;negro;ES;Sudeste;2003;816
52;homem;negro;GO;Centro-Oeste;2003;709
29;homem;negro;BA;Nordeste;2003;1565
24;homem;negro;RN;Nordeste;2003;261
15;homem;negro;PA;Norte;2003;1159
50;homem;negro;MS;Centro-Oeste;2003;355
35;homem;negro;SP;Sudeste;2003;5461
